"Path","Changed","OldRiffSize","NewRiffSize","OldDataSize","NewDataSize"
"Resources\sounds\sfx\vehicles\new\titan\TITAN_START.wav","True","0","396582","0","396544"
"Resources\sounds\sfx\vehicles\new\vtol\VTOL_DEATH.wav","True","0","201382","0","201344"
"Resources\sounds\sfx\vehicles\new\vtol\VTOL_ENGINE.wav","True","0","957862","0","957824"
"Resources\sounds\sfx\vehicles\new\vtol\VTOL_START.wav","True","0","372134","0","372096"
"Resources\sounds\sfx\vehicles\new\warper\Laser Noise_05(warp)-short.wav","True","0","140966","0","140928"
"Resources\sounds\sfx\weapons\assaultrifle\SHOT_ASSAULT_1.wav","True","0","113830","0","113792"
"Resources\sounds\sfx\weapons\assaultrifle\SHOT_ASSAULT_2.wav","True","0","114214","0","114176"
"Resources\sounds\sfx\weapons\assaultrifle\SHOT_ASSAULT_3.wav","True","0","114726","0","114688"
"Resources\sounds\sfx\weapons\assaultrifle\SHOT_ASSAULT_4.wav","True","0","113062","0","113024"
"Resources\sounds\sfx\weapons\assaultrifle\SHOT_ASSAULT_5.wav","True","0","115366","0","115328"
"Resources\sounds\sfx\weapons\assaultrifle\SHOT_ASSAULT_6.wav","True","0","115366","0","115328"
"Resources\sounds\sfx\weapons\grenade\coctail_impact.wav","True","0","165542","0","165504"
"Resources\sounds\sfx\weapons\grenade\coctail_throw.wav","True","0","11558","0","11520"
"Resources\sounds\sfx\weapons\grenade\grenade_throw.wav","True","0","51238","0","51200"
"Resources\sounds\sfx\weapons\grenade\throw.wav","True","0","19110","0","19072"
"Resources\sounds\sfx\weapons\handgun\SHOT_PISTOL_1.wav","True","0","98470","0","98432"
"Resources\sounds\sfx\weapons\handgun\SHOT_PISTOL_2.wav","True","0","100390","0","100352"
"Resources\sounds\sfx\weapons\handgun\SHOT_PISTOL_3.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\handgun\SHOT_PISTOL_4.wav","True","0","175910","0","175872"
"Resources\sounds\sfx\weapons\handgun\SHOT_PISTOL_5.wav","True","0","114342","0","114304"
"Resources\sounds\sfx\weapons\launchers\SHOT_LAUNCHER_1.wav","True","0","290214","0","290176"
"Resources\sounds\sfx\weapons\launchers\SHOT_LAUNCHER_2.wav","True","0","31270","0","31232"
"Resources\sounds\sfx\weapons\launchers\SHOT_LAUNCHER_3.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\launchers\SHOT_LAUNCHER_4.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\launchers\SHOT_LAUNCHER_5.wav","True","0","182950","0","182912"
"Resources\sounds\sfx\weapons\launchers\SHOT_LAUNCHER_6.wav","True","0","265510","0","265472"
"Resources\sounds\sfx\weapons\lmg\M249 5.56 caliber machine gun  double shot close perspective_BLASTWAVEFX_09527.wav","True","0","16038","0","16000"
"Resources\sounds\sfx\weapons\lmg\SHOT_LMG_1.wav","True","0","118438","0","118400"
"Resources\sounds\sfx\weapons\lmg\SHOT_LMG_2.wav","True","0","152998","0","152960"
"Resources\sounds\sfx\weapons\lmg\SHOT_LMG_3.wav","True","0","108454","0","108416"
"Resources\sounds\sfx\weapons\lmg\SHOT_LMG_4.wav","True","0","150310","0","150272"
"Resources\sounds\sfx\weapons\lmg\SHOT_LMG_5.wav","True","0","170534","0","170496"
"Resources\sounds\sfx\weapons\mineammo\mineyourstep-beep.wav","True","0","32678","0","32640"
"Resources\sounds\sfx\weapons\minigun\MINIGUN_MOTOR_DOWN.wav","True","0","161574","0","161536"
"Resources\sounds\sfx\weapons\minigun\MINIGUN_MOTOR_LOOP.wav","True","0","304038","0","304000"
"Resources\sounds\sfx\weapons\minigun\MINIGUN_MOTOR_UP.wav","True","0","104614","0","104576"
"Resources\sounds\sfx\weapons\minigun\SHOT_MINIGUN.wav","True","0","119590","0","119552"
"Resources\sounds\sfx\weapons\pulserifle\Pulse_Burst_Shot.wav","True","0","55206","0","55168"
"Resources\sounds\sfx\weapons\pulserifle\Pulse_Charge.wav","True","0","220582","0","220544"
"Resources\sounds\sfx\weapons\pulserifle\Pulse_Charge_Max_HUD.wav","True","0","29990","0","29952"
"Resources\sounds\sfx\weapons\pulserifle\Pulse_Charge_Shot.wav","True","0","165414","0","165376"
"Resources\sounds\sfx\weapons\pulserifle\Pulse_Scope_Open.wav","True","0","44198","0","44160"
"Resources\sounds\sfx\weapons\shotgun\SHOT_SHOTGUN_1.wav","True","0","114342","0","114304"
