file_id,namespace,name,full_name,base_type
524960899,"BestHTTP.ServerSentEvents","OnMessageDelegate","BestHTTP.ServerSentEvents.OnMessageDelegate","System.MulticastDelegate"
1097192759,"BestHTTP.ServerSentEvents","OnRetryDelegate","BestHTTP.ServerSentEvents.OnRetryDelegate","System.MulticastDelegate"
-1729946541,"BestHTTP.ServerSentEvents","OnStateChangedDelegate","BestHTTP.ServerSentEvents.OnStateChangedDelegate","System.MulticastDelegate"
-1650188000,"BestHTTP.ServerSentEvents","States","BestHTTP.ServerSentEvents.States","System.Enum"
-659205076,"BestHTTP.SignalR.Authentication","HeaderAuthenticator","BestHTTP.SignalR.Authentication.HeaderAuthenticator","System.Object"
1436852492,"BestHTTP.SignalR.Authentication","IAuthenticationProvider","BestHTTP.SignalR.Authentication.IAuthenticationProvider",""
-761641601,"BestHTTP.SignalR.Authentication","OnAuthenticationFailedDelegate","BestHTTP.SignalR.Authentication.OnAuthenticationFailedDelegate","System.MulticastDelegate"
513443101,"BestHTTP.SignalR.Authentication","OnAuthenticationSuccededDelegate","BestHTTP.SignalR.Authentication.OnAuthenticationSuccededDelegate","System.MulticastDelegate"
1324852040,"BestHTTP.SignalR.Authentication","SampleCookieAuthentication","BestHTTP.SignalR.Authentication.SampleCookieAuthentication","System.Object"
1173752345,"BestHTTP.SignalR","Connection","BestHTTP.SignalR.Connection","System.Object"
1370033900,"BestHTTP.SignalR","ConnectionStates","BestHTTP.SignalR.ConnectionStates","System.Enum"
-1965589305,"BestHTTP.SignalR.Hubs","Hub","BestHTTP.SignalR.Hubs.Hub","System.Object"
1055413798,"BestHTTP.SignalR.Hubs","IHub","BestHTTP.SignalR.Hubs.IHub",""
539645536,"BestHTTP.SignalR.Hubs","OnMethodCallCallbackDelegate","BestHTTP.SignalR.Hubs.OnMethodCallCallbackDelegate","System.MulticastDelegate"
822625803,"BestHTTP.SignalR.Hubs","OnMethodCallDelegate","BestHTTP.SignalR.Hubs.OnMethodCallDelegate","System.MulticastDelegate"
-1537902679,"BestHTTP.SignalR.Hubs","OnMethodFailedDelegate","BestHTTP.SignalR.Hubs.OnMethodFailedDelegate","System.MulticastDelegate"
-1458390633,"BestHTTP.SignalR.Hubs","OnMethodProgressDelegate","BestHTTP.SignalR.Hubs.OnMethodProgressDelegate","System.MulticastDelegate"
-1496129157,"BestHTTP.SignalR.Hubs","OnMethodResultDelegate","BestHTTP.SignalR.Hubs.OnMethodResultDelegate","System.MulticastDelegate"
2023228545,"BestHTTP.SignalR","IConnection","BestHTTP.SignalR.IConnection",""
169186938,"BestHTTP.SignalR.JsonEncoders","DefaultJsonEncoder","BestHTTP.SignalR.JsonEncoders.DefaultJsonEncoder","System.Object"
-1389981833,"BestHTTP.SignalR.JsonEncoders","IJsonEncoder","BestHTTP.SignalR.JsonEncoders.IJsonEncoder",""
-19403283,"BestHTTP.SignalR.JsonEncoders","LitJsonEncoder","BestHTTP.SignalR.JsonEncoders.LitJsonEncoder","System.Object"
-1206385364,"BestHTTP.SignalR","MessageTypes","BestHTTP.SignalR.MessageTypes","System.Enum"
-56188377,"BestHTTP.SignalR.Messages","ClientMessage","BestHTTP.SignalR.Messages.ClientMessage","System.ValueType"
-1092959689,"BestHTTP.SignalR.Messages","DataMessage","BestHTTP.SignalR.Messages.DataMessage","System.Object"
1691000235,"BestHTTP.SignalR.Messages","FailureMessage","BestHTTP.SignalR.Messages.FailureMessage","System.Object"
-1547058735,"BestHTTP.SignalR.Messages","IHubMessage","BestHTTP.SignalR.Messages.IHubMessage",""
-590761998,"BestHTTP.SignalR.Messages","IServerMessage","BestHTTP.SignalR.Messages.IServerMessage",""
1586319594,"BestHTTP.SignalR.Messages","KeepAliveMessage","BestHTTP.SignalR.Messages.KeepAliveMessage","System.Object"
380112494,"BestHTTP.SignalR.Messages","MethodCallMessage","BestHTTP.SignalR.Messages.MethodCallMessage","System.Object"
-1129854820,"BestHTTP.SignalR.Messages","MultiMessage","BestHTTP.SignalR.Messages.MultiMessage","System.Object"
1923464341,"BestHTTP.SignalR.Messages","ProgressMessage","BestHTTP.SignalR.Messages.ProgressMessage","System.Object"
1145630194,"BestHTTP.SignalR.Messages","ResultMessage","BestHTTP.SignalR.Messages.ResultMessage","System.Object"
-198696193,"BestHTTP.SignalR","NegotiationData","BestHTTP.SignalR.NegotiationData","System.Object"
1969564279,"BestHTTP.SignalR","OnClosedDelegate","BestHTTP.SignalR.OnClosedDelegate","System.MulticastDelegate"
229783499,"BestHTTP.SignalR","OnConnectedDelegate","BestHTTP.SignalR.OnConnectedDelegate","System.MulticastDelegate"
-1153005269,"BestHTTP.SignalR","OnErrorDelegate","BestHTTP.SignalR.OnErrorDelegate","System.MulticastDelegate"
1303255156,"BestHTTP.SignalR","OnNonHubMessageDelegate","BestHTTP.SignalR.OnNonHubMessageDelegate","System.MulticastDelegate"
2000316791,"BestHTTP.SignalR","OnPrepareRequestDelegate","BestHTTP.SignalR.OnPrepareRequestDelegate","System.MulticastDelegate"
335229776,"BestHTTP.SignalR","OnStateChanged","BestHTTP.SignalR.OnStateChanged","System.MulticastDelegate"
-1357512923,"BestHTTP.SignalR","ProtocolVersions","BestHTTP.SignalR.ProtocolVersions","System.Enum"
1677871669,"BestHTTP.SignalR","RequestTypes","BestHTTP.SignalR.RequestTypes","System.Enum"
1490598818,"BestHTTP.SignalR","TransportStates","BestHTTP.SignalR.TransportStates","System.Enum"
1979640099,"BestHTTP.SignalR","TransportTypes","BestHTTP.SignalR.TransportTypes","System.Enum"
-1057423802,"BestHTTP.SignalR.Transports","OnTransportStateChangedDelegate","BestHTTP.SignalR.Transports.OnTransportStateChangedDelegate","System.MulticastDelegate"
1873929945,"BestHTTP.SignalR.Transports","PollingTransport","BestHTTP.SignalR.Transports.PollingTransport","BestHTTP.SignalR.Transports.PostSendTransportBase"
-1578631119,"BestHTTP.SignalR.Transports","PostSendTransportBase","BestHTTP.SignalR.Transports.PostSendTransportBase","BestHTTP.SignalR.Transports.TransportBase"
1156003478,"BestHTTP.SignalR.Transports","ServerSentEventsTransport","BestHTTP.SignalR.Transports.ServerSentEventsTransport","BestHTTP.SignalR.Transports.PostSendTransportBase"
564098713,"BestHTTP.SignalR.Transports","TransportBase","BestHTTP.SignalR.Transports.TransportBase","System.Object"
-979551581,"BestHTTP.SignalR.Transports","WebSocketTransport","BestHTTP.SignalR.Transports.WebSocketTransport","BestHTTP.SignalR.Transports.TransportBase"
702310314,"BestHTTP.SocketIO","Error","BestHTTP.SocketIO.Error","System.Object"
1104733901,"BestHTTP.SocketIO.Events","EventDescriptor","BestHTTP.SocketIO.Events.EventDescriptor","System.Object"
-38929473,"BestHTTP.SocketIO.Events","EventNames","BestHTTP.SocketIO.Events.EventNames","System.Object"
2113069967,"BestHTTP.SocketIO.Events","EventTable","BestHTTP.SocketIO.Events.EventTable","System.Object"
-1820931569,"","<Register>c__AnonStorey0","BestHTTP.SocketIO.Events.EventTable/<Register>c__AnonStorey0","System.Object"
-260296286,"BestHTTP.SocketIO.Events","SocketIOAckCallback","BestHTTP.SocketIO.Events.SocketIOAckCallback","System.MulticastDelegate"
316151026,"BestHTTP.SocketIO.Events","SocketIOCallback","BestHTTP.SocketIO.Events.SocketIOCallback","System.MulticastDelegate"
349164688,"BestHTTP.SocketIO","HandshakeData","BestHTTP.SocketIO.HandshakeData","System.Object"
-1102359067,"BestHTTP.SocketIO","IManager","BestHTTP.SocketIO.IManager",""
-1640073381,"BestHTTP.SocketIO","ISocket","BestHTTP.SocketIO.ISocket",""
434942100,"BestHTTP.SocketIO.JsonEncoders","DefaultJSonEncoder","BestHTTP.SocketIO.JsonEncoders.DefaultJSonEncoder","System.Object"
1430745138,"BestHTTP.SocketIO.JsonEncoders","IJsonEncoder","BestHTTP.SocketIO.JsonEncoders.IJsonEncoder",""
-160170359,"BestHTTP.SocketIO.JsonEncoders","LitJsonEncoder","BestHTTP.SocketIO.JsonEncoders.LitJsonEncoder","System.Object"
-1105244889,"BestHTTP.SocketIO","Packet","BestHTTP.SocketIO.Packet","System.Object"
1514125796,"","PayloadTypes","BestHTTP.SocketIO.Packet/PayloadTypes","System.Enum"
-1646102272,"BestHTTP.SocketIO","Socket","BestHTTP.SocketIO.Socket","System.Object"
-1220337923,"BestHTTP.SocketIO","SocketIOErrors","BestHTTP.SocketIO.SocketIOErrors","System.Enum"
-317594578,"BestHTTP.SocketIO","SocketIOEventTypes","BestHTTP.SocketIO.SocketIOEventTypes","System.Enum"
602793435,"BestHTTP.SocketIO","SocketManager","BestHTTP.SocketIO.SocketManager","System.Object"
-1096149187,"","States","BestHTTP.SocketIO.SocketManager/States","System.Enum"
530710847,"BestHTTP.SocketIO","SocketOptions","BestHTTP.SocketIO.SocketOptions","System.Object"
-1744002201,"BestHTTP.SocketIO","TransportEventTypes","BestHTTP.SocketIO.TransportEventTypes","System.Enum"
519955588,"BestHTTP.SocketIO.Transports","ITransport","BestHTTP.SocketIO.Transports.ITransport",""
1114935612,"BestHTTP.SocketIO.Transports","PollingTransport","BestHTTP.SocketIO.Transports.PollingTransport","System.Object"
438128457,"BestHTTP.SocketIO.Transports","TransportStates","BestHTTP.SocketIO.Transports.TransportStates","System.Enum"
-1308559884,"BestHTTP.SocketIO.Transports","WebSocketTransport","BestHTTP.SocketIO.Transports.WebSocketTransport","System.Object"
-465399093,"BestHTTP.Statistics","GeneralStatistics","BestHTTP.Statistics.GeneralStatistics","System.ValueType"
398141768,"BestHTTP.Statistics","StatisticsQueryFlags","BestHTTP.Statistics.StatisticsQueryFlags","System.Enum"
-288696873,"BestHTTP","StreamList","BestHTTP.StreamList","System.IO.Stream"
-833802246,"BestHTTP","SupportedProtocols","BestHTTP.SupportedProtocols","System.Enum"
