full_name,namespace,name,reason
"EventAssignmentsConfig","","EventAssignmentsConfig","assembly-local dependency"
"EventLook","","EventLook","assembly-local dependency"
"EventMilestone","","EventMilestone","assembly-local dependency"
"ExoMech","","ExoMech","closure root"
"ExoMechAnimator","","ExoMechAnimator","closure root"
"ExoMechBehaviour","","ExoMechBehaviour","closure root"
"ExoMechBehaviourDefinititon","","ExoMechBehaviourDefinititon","assembly-local dependency"
"ExplosiveArrowSetup","","ExplosiveArrowSetup","closure root"
"ExplosiveSetup","","ExplosiveSetup","assembly-local dependency"
"FAGPEFLHJJC","","FAGPEFLHJJC","assembly-local dependency"
"FEPKHDHDKII","","FEPKHDHDKII","assembly-local dependency"
"FJKGDAAHFIE","","FJKGDAAHFIE","assembly-local dependency"
"FPMGOANDNKO","","FPMGOANDNKO","assembly-local dependency"
"FakeRigidBodySwapper","","FakeRigidBodySwapper","assembly-local dependency"
"FlockChild","","FlockChild","closure root"
"FlockController","","FlockController","closure root"
"FriendGuiRecord","","FriendGuiRecord","assembly-local dependency"
"GBNMKDCEBLE","","GBNMKDCEBLE","assembly-local dependency"
"GDFHGNLOPDG","","GDFHGNLOPDG","assembly-local dependency"
"GDPRManager","","GDPRManager","closure root"
"GIFNNKNKCMA","","GIFNNKNKCMA","assembly-local dependency"
"GKILEOGBLMO","","GKILEOGBLMO","assembly-local dependency"
"GameController","","GameController","assembly-local dependency"
"GameControllerCampaign","","GameControllerCampaign","assembly-local dependency"
"GameControllerCoop","","GameControllerCoop","assembly-local dependency"
"GameControllerDeathMatch","","GameControllerDeathMatch","assembly-local dependency"
"GameControllerDeathMatchOffline","","GameControllerDeathMatchOffline","assembly-local dependency"
"GameControllerInvasion","","GameControllerInvasion","closure root"
"GameControllerOnline","","GameControllerOnline","assembly-local dependency"
"GameControllerPVP","","GameControllerPVP","assembly-local dependency"
"GameControllerTutorial","","GameControllerTutorial","assembly-local dependency"
"GameControllerWarArena","","GameControllerWarArena","assembly-local dependency"
"GameReward","","GameReward","assembly-local dependency"
"GameRewardData","","GameRewardData","assembly-local dependency"
"GameShootableEntity","","GameShootableEntity","assembly-local dependency"
"GeneratedGameObject","","GeneratedGameObject","assembly-local dependency"
