asset,status,samples,channels,frequency,length_seconds,load_state
"Assets/Resources/sounds/sfx/weapons/launchers/SHOT_LAUNCHER_1.wav",ok,145088,1,48000,3.023,Loaded
"Assets/Resources/sounds/sfx/weapons/launchers/SHOT_LAUNCHER_2.wav",ok,15616,1,44100,0.354,Loaded
"Assets/Resources/sounds/sfx/weapons/launchers/SHOT_LAUNCHER_3.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/launchers/SHOT_LAUNCHER_4.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/launchers/SHOT_LAUNCHER_5.wav",ok,91456,1,48000,1.905,Loaded
"Assets/Resources/sounds/sfx/weapons/launchers/SHOT_LAUNCHER_6.wav",ok,132736,1,48000,2.765,Loaded
"Assets/Resources/sounds/sfx/weapons/lmg/M249 5.56 caliber machine gun  double shot close perspective_BLASTWAVEFX_09527.wav",ok,8000,1,38962,0.205,Loaded
"Assets/Resources/sounds/sfx/weapons/lmg/SHOT_LMG_1.wav",ok,59200,1,48000,1.233,Loaded
"Assets/Resources/sounds/sfx/weapons/lmg/SHOT_LMG_2.wav",ok,76480,1,48000,1.593,Loaded
"Assets/Resources/sounds/sfx/weapons/lmg/SHOT_LMG_3.wav",ok,54208,1,48000,1.129,Loaded
"Assets/Resources/sounds/sfx/weapons/lmg/SHOT_LMG_4.wav",ok,75136,1,48000,1.565,Loaded
"Assets/Resources/sounds/sfx/weapons/lmg/SHOT_LMG_5.wav",ok,85248,1,48000,1.776,Loaded
"Assets/Resources/sounds/sfx/weapons/mineammo/mineyourstep-beep.wav",ok,16320,1,24192,0.675,Loaded
"Assets/Resources/sounds/sfx/weapons/minigun/MINIGUN_MOTOR_DOWN.wav",ok,80768,1,42375,1.906,Loaded
"Assets/Resources/sounds/sfx/weapons/minigun/MINIGUN_MOTOR_LOOP.wav",ok,152000,1,45187,3.364,Loaded
"Assets/Resources/sounds/sfx/weapons/minigun/MINIGUN_MOTOR_UP.wav",ok,52288,1,45187,1.157,Loaded
"Assets/Resources/sounds/sfx/weapons/minigun/SHOT_MINIGUN.wav",ok,59776,1,48000,1.245,Loaded
"Assets/Resources/sounds/sfx/weapons/pulserifle/Pulse_Burst_Shot.wav",ok,27584,1,44100,0.625,Loaded
"Assets/Resources/sounds/sfx/weapons/pulserifle/Pulse_Charge.wav",ok,110272,1,44100,2.500,Loaded
"Assets/Resources/sounds/sfx/weapons/pulserifle/Pulse_Charge_Max_HUD.wav",ok,14976,1,44100,0.340,Loaded
"Assets/Resources/sounds/sfx/weapons/pulserifle/Pulse_Charge_Shot.wav",ok,82688,1,44100,1.875,Loaded
"Assets/Resources/sounds/sfx/weapons/pulserifle/Pulse_Scope_Open.wav",ok,22080,1,44100,0.501,Loaded
"Assets/Resources/sounds/sfx/weapons/shotgun/SHOT_SHOTGUN_1.wav",ok,57152,1,48000,1.191,Loaded
"Assets/Resources/sounds/sfx/weapons/shotgun/SHOT_SHOTGUN_2.wav",ok,80000,1,48000,1.667,Loaded
"Assets/Resources/sounds/sfx/weapons/shotgun/SHOT_SHOTGUN_3.wav",ok,91456,1,48000,1.905,Loaded
